"Index","yearly.returns"
1977-12-30,0.130204425563402
1978-12-29,0.29764082282921
1979-12-31,0.233562028222292
1980-12-31,0.38222236123031
1981-12-31,0.00552395758054147
1982-12-31,0.105482766985943
1983-12-30,0.283370529855305
1984-12-31,0.0814971259225796
1985-12-31,0.528698129109876
1986-12-31,0.545001330795249
1987-12-31,0.26256311211047
1988-12-30,0.290336659062333
1989-12-29,0.220753712810718
1990-12-31,-0.0860605747480373
1991-12-31,0.231205131709559
1992-12-31,-0.00251255864956612
1993-12-31,0.322122095224833
1994-12-30,0.114035381712388
1995-12-29,0.253669298004301
1996-12-31,0.197068018079513
1997-12-31,0.177565927544484
1998-12-31,0.336553995582514
1999-12-31,0.257540044177851
2000-12-29,0.0919382050674848
2001-12-31,-0.0161541656047558
2002-12-31,-0.0360344676521203
2003-12-31,0.37360060328118
2004-12-31,0.244004604083786
2005-12-30,0.195608824265407
2006-12-29,0.252153706514562
2007-12-31,0.137550109304887
2008-12-31,-0.345024778312696
2009-12-31,0.327653146583645
2010-12-31,0.153517088524567
2011-12-31,-0.0265215164373784
