"Index","JP","UK","US","Euro","Pac"
1981-12-31,4.08761326544993,3.58051080729619,2.08600988148245,2.23185270551635,5.07372395114113
1982-01-29,3.88374921672586,3.40640966067699,2.03528496274062,2.32921693776558,4.56122658233899
1982-02-26,3.4529135334064,3.10502153654098,2.01822420707654,2.41295832951276,4.11101712297436
1982-03-31,3.0750009529051,2.96500336846538,2.0031688245889,2.34937576483521,3.86935843052951
1982-04-30,3.33010058300166,2.9445729298822,2.01429645571662,2.38355678954184,4.3840021626689
1982-05-31,3.18415589145917,2.91638852257382,1.97345376555229,2.29727637188198,4.16327265532728
1982-06-30,2.84812273673747,2.72604015369552,1.8547077972016,2.07157904411814,3.7893211204891
1982-07-30,2.77655613278101,2.90623322631699,1.81877711109345,2.07344383821666,3.67044635884167
1982-08-31,2.60680127526593,2.45521450363059,2.11535831995988,2.07099945998122,3.64459814504701
1982-09-30,2.53990619303542,2.37860271773027,2.11680606225943,2.0011455108623,3.56067195144646
1982-10-29,2.51629214965321,2.30671446029981,2.4022898371113,2.03825439697042,3.21047454241903
1982-11-30,2.94363924704033,2.50518506355651,2.33353019955534,2.17274058465364,3.1185906517824
1982-12-31,3.05885181423401,2.27490658490154,2.33032259790647,2.22682937852381,3.05282618243085
1983-01-31,2.74098574770613,2.27100372770673,2.56698230564877,2.30662891404887,3.32019589696195
1983-02-28,2.76333366686719,2.5081326790444,2.67997791701744,2.3301999797858,3.30244266440236
1983-03-31,2.48270125039624,2.47069046109722,2.68332178043248,2.29228344904633,3.04828565392802
1983-04-29,2.55150532616556,2.74926429887871,2.65409601247133,2.37788080050141,3.33225142777303
1983-05-31,2.42629784489905,2.68591958793193,2.54487709742575,2.28415074176319,3.29316248712732
1983-06-30,2.2705234258007,2.68913722146045,2.66417221133787,2.33198754637977,3.23157244350419
1983-07-29,2.05075563646202,2.27067454159033,2.35758777233652,2.14688550237137,3.47641216632542
1983-08-31,2.04890792390539,2.08520772558048,2.28200820058716,2.08040212316895,3.40202802308522
1983-09-30,2.17616423508356,2.15010225373327,2.34712897893234,1.93433254508287,3.26303152313739
1983-10-31,2.04520149275155,2.06549708079977,2.60906529877719,1.89300228097466,3.38793708391782
1983-11-30,2.18883195835962,2.31610102011287,2.58101883961035,2.12434842191804,3.96867388996459
1983-12-30,2.24542206965938,2.31453184598,2.5456139172563,1.99236931286977,3.92463142603006
1984-01-31,2.20791428672378,2.47344688752263,2.45640864323279,2.09617935374875,3.98359856173903
1984-02-29,2.28068223152156,2.43002877222344,2.47089997967082,2.2057614653351,3.82275658121558
1984-03-30,2.65426477345465,2.19488553613412,2.30909448548161,2.14936415514187,3.88384384718676
1984-04-30,2.75154739821209,2.09595815933803,2.34682779512878,2.13065907546823,4.10369940032352
1984-05-31,2.35560907944591,1.99135229237958,2.23143338917647,2.08110886441083,3.27888456385456
1984-06-29,2.324447749869,2.03463820313273,2.15792334893511,1.88638522797473,3.23414409022315
1984-07-31,2.21717647534876,1.89195446626269,2.09984617226041,1.82202731274318,3.11596926540537
1984-08-31,2.31829329184907,1.94806182194189,2.17728675570738,1.84993470345706,2.97909419314888
1984-09-28,2.25563671639369,1.88278082258645,2.14610440232585,1.68027067636334,2.68026446488826
1984-10-31,2.61729467036296,2.1799595532279,2.33408434997483,1.79894951149846,2.82558659037955
1984-11-30,2.73020597182413,2.16635155828672,2.1646890492024,1.72715263622207,2.80390409007455
1984-12-31,2.61223255941654,2.20452889140711,2.07494409663018,1.72289100812243,2.52608607014056
1985-01-31,2.38045173280164,2.03519321920283,1.94116528778941,1.80110462985893,2.36100113282834
1985-02-28,2.42387302504975,1.84056297985571,1.90193871823445,1.78638467475666,2.02225163966841
1985-03-29,2.63571405571579,2.39495447207928,2.30714718188312,2.21634194618952,2.53180124577017
1985-04-30,2.43455993928878,2.23913340421249,2.2451788148336,2.06622396012954,2.22679820662315
1985-05-31,2.53433122684405,2.36888671916189,2.25046457341453,2.06701835611575,2.11010397251427
1985-06-28,2.53851085731129,2.05267456379822,2.1844691711952,2.0909930519145,1.98477275723539
1985-07-31,2.91864859894725,2.15334860642554,2.03433947132524,2.29994401463749,2.10803239405255
1985-08-30,2.96555928087376,2.30961734638325,1.9761815751205,2.45803019082608,2.00651525653501
1985-09-30,3.21803366804916,2.2053004181445,1.86066957450836,2.62454668809701,1.9371623043095
1985-10-31,2.99967388891917,2.31531031406119,1.89614882702355,2.94190517606074,1.91669173490912
1985-11-29,3.12862545839219,2.55107549566759,1.77412441892855,3.17999018981506,1.7984700986263
1985-12-31,2.93301497655588,2.55691016256692,1.98933851627937,3.5747677601252,1.89899757011315
1986-01-31,2.98861033016767,2.57553149432856,2.13450071784121,4.01746106605815,2.33881219237032
1986-02-28,3.59185225696932,2.92443225468831,2.26003484537064,4.49865367970198,2.28768688941847
1986-03-31,3.88531259622687,3.18840201758596,2.33843007477119,4.58269680676706,2.48158122042621
1986-04-30,3.68301887648887,3.32725831090139,2.34631967629122,5.38067165006393,2.58504101159219
1986-05-30,3.8413598648774,3.40682796634173,2.52216956439041,5.49989770036448,2.58195039764987
1986-06-30,4.11973515893699,3.61434377263296,2.64726753751009,5.52076713121817,2.73329567301035
1986-07-31,4.80529906296813,3.41491880049907,2.49604027173274,5.70675242572675,2.52122472150101
1986-08-29,4.92482264581838,3.32358177843391,2.79420386580758,6.18372981396281,2.80509780861078
1986-09-30,5.25843113637248,3.73009514111871,2.72581742078997,6.01827677655144,3.24289108769228
1986-10-31,4.95208345160834,3.67370998200877,2.74613247515247,5.83305464373524,3.35020659713466
