145,-0.075,0,0,0,0.075
146,-0.075,0,0,0,0.075
147,-0.075,0,0,0,0.075
148,-0.075,0,0,0,0.075
149,-0.075,0,0,0,0.075
150,-0.075,0,0,0,0.1
151,-0.05,0,0,0,0.1
152,-0.075,0,0,0,0.1
153,-0.075,0,0,0,0.1
154,-0.075,0,0,0,0.1
155,-0.075,0,0,0,0.075
156,-0.075,0,0,0,0.075
157,-0.075,0,0,0,0.1
158,-0.075,0,0.05,-0.05,0.075
159,-0.075,0,0,-0.05,0.075
160,-0.075,0,0,-0.05,0.1
161,-0.075,0,0,-0.05,0.1
162,-0.075,0,0,-0.05,0.075
163,-0.075,0,0,0,0.075
164,-0.075,0,0,-0.05,0.075
165,-0.075,0,0.05,-0.05,0.075
166,-0.075,0,0,-0.05,0.075
167,-0.075,0,0.05,0,0.075
168,-0.075,0,0,0,0.075
169,-0.075,0,0,-0.05,0.1
170,-0.075,0,0,-0.05,0.1
171,-0.075,0,0.05,0,0.075
172,-0.075,0,0,0,0.075
173,-0.075,0,0,0,0.075
174,-0.075,0,0,0,0.075
175,-0.1,0,0,0,0.075
176,-0.1,0,0,0,0.075
177,-0.1,0,0,0,0.075
178,-0.1,0,0.05,0,0.075
179,-0.1,0,0,0,0.05
180,-0.1,0.05,0.05,0,0.05
181,-0.1,0.05,0,0,0.05
182,-0.1,0,0.05,0,0.05
183,-0.1,0.05,0.05,0,0.05
184,-0.1,0.05,0,0,0
185,-0.1,0.05,0.05,0,0
186,-0.1,0.05,0.075,0,0
187,-0.075,0.05,0.075,0,0
188,-0.1,0.05,0.075,0,0
189,-0.1,0.05,0.05,0,0
190,-0.1,0.05,0.05,0,0
191,-0.075,0.05,0.05,0.05,-0.05
192,-0.075,0.05,0.05,0.05,-0.05
193,-0.075,0.05,0,0.05,-0.05
194,-0.075,0.075,0,0.05,-0.05
195,-0.075,0.075,0,0.05,-0.05
196,-0.075,0.05,0,0.05,-0.05
197,-0.075,0.05,0.05,0.05,-0.05
198,-0.075,0.05,0.05,0.05,-0.05
199,-0.075,0.05,0.05,0.05,-0.05
200,-0.075,0.05,0.05,0.05,-0.05
201,-0.075,0.05,0.05,0.05,-0.05
202,-0.075,0.05,0.05,0.05,-0.05
