"Index","AUSTRUS","CDNDLUS","JAPYNUS.100","NEWZDUS","SWISFUS","BRITPUS","INDNRUS.100","INDONUS.1000","SKORWUS","NORGKUS","PHILPUS","SWEDKUS","TAIWDUS","SINGDUS","THAIBUS","TURKLUS","SARFNUS","CHILPUS","MALAYUS","US.CWMN","CHINYUS","HKDOLUS","DANKRUS","BOEUSA."
1986-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986-02-28,-0.0209461379982586,-0.000426833612512834,0.0653194661206431,-0.0179504111238431,0.0726598298668745,0.0187996558051214,0.0040572994737329,0,0.00888894741724577,0.0634218264374959,-0.146021968074688,0.0498637015779559,0.00944145487091852,-0.00707777753586181,0.0122049803708788,0,0.0845573880280629,0,-0.011394723239495,-0.0417780868283923,-0.00191815915590388,0,0.0746108637911749,-0.0454148820514506
1986-03-31,0.0223457183526818,0.0184707401337734,0.0139537147738649,0.0198213190596548,-0.0339145445101334,0.0294440989686643,-0.00159636553825138,0,0,-0.0442613286984201,0.0607413540910957,-0.0260884360842979,0.00546662821736721,-0.00821271095462728,0.00210748233956481,-0.0988458346366325,-0.145182009844498,-0.0183491386681967,-0.0313790927437914,0.00313331870911782,-0.000960461095124598,-0.00234283590177231,-0.0485450961618339,0.00568273036783218
1986-04-30,0.035313142325236,0.0158007445313436,0.0584800564195707,0.0859204394544857,0.0723523879712277,0.043248198702719,0.000737100770474175,0,0,0.0512202990227235,0.0131933474213275,0.0466201307673786,0.00968812072881287,-0.00915637528598634,0.00262812240626964,-0.0263173083173731,-0.0317486983145803,-0.018692133012153,0,-0.0505276053035963,-0.0338794617475831,0.00390168267106361,0.0679631820189353,-0.0515998687528771
1986-05-30,-0.0360126876493214,-0.00316782855643694,-0.0394754372817259,-0.034907558210802,-0.0636204027324561,-0.0479827357848309,-0.0375372482544649,0,0,-0.119170960931231,-0.00143457346049791,-0.0510351489764953,0.00576813750787908,-0.0219205057376222,-0.00315457674851594,-0.0215641779158409,-0.209924852929645,0,-0.02604313853602,0.0419051575282134,-0.00199005040800992,-0.00233918235317221,-0.0696799206379897,0.0416337971808307
1986-06-30,-0.0587980894033081,-0.00456274555841812,0.0647890562491984,-0.0206377894461331,0.0790911196393175,0.0431244266337546,0.0150588103475959,-0.0186166641618843,0,0.0398214941866719,-0.00205296725769433,0.0362096038702693,0.00649725197918016,0.0230149569796257,-0.000263331140428757,0.00814115758370004,-0.0670619304053877,-0.0138693208272915,0.00605026178109169,-0.0377184164030115,0.0400248641472367,0,0.0527098164195281,-0.0399777563949746
1986-07-31,-0.122544240901264,0.00566573753567734,0.0613067074878586,-0.0540168548545911,0.0659655638342594,-0.0313298501409178,-0.00314485446938706,0.0186166641618843,0,0.0141634868598639,0.00287297550372489,0.0204160558231112,0.000761614659816168,0.00654167182372423,0.00943650514875305,-0.0115529657380362,-0.217838499084517,-0.0051788741434029,0.00183414174305718,-0.0290019380589159,-0.149377401074601,0,0.0336570230034763,-0.0307483901362771
1986-08-29,0.0223982818559766,-0.00622021495492914,-0.000922367475078012,-0.066262494364094,0.0211648111920431,-0.00874837342649276,0.00226529168101175,0,0.00881062968215485,0.0154244703256319,0.00306905611741781,0.0110881246904664,0.00833969958652947,0.00994817892950972,0.00338586076816982,0.00816886775379544,0.0689928714869514,0.0190481949706944,0.00782272568120901,-0.00502658449289672,0.00258923762188057,0,0.0225954295496478,-0.00376100964746495
1986-09-30,0.0305379574601398,-0.00110987802736107,-0.0033893115175303,0.00102197249569302,-0.00640133494878109,-0.0215208988946027,0.00564087989008577,-0.388935806156954,0,-0.0109931484509616,-0.00306905611741781,-0.00276052625270395,0.0264496700179735,-0.00842792670925119,-0.0031250025431353,-0.0380011181786131,0.127339422376602,-0.0324062485982477,-0.00965686742426619,0.000959485105643587,-0.0059281388873953,0.000780335583880909,0.00690981636018684,0.000256882306502781
1986-10-31,0.0209439983750037,-0.00111111122542301,-0.0561785019535996,0.0380807535180495,-0.0386083533431381,-0.0290789450157501,-0.0384809868182812,-0.0165293019512109,0,-0.02160232979849,0.00306905611741781,-0.0167251285416314,0.0058651194523982,-0.0113488778086543,0.000260790195766969,-0.0199153097009415,-0.115069329784787,-0.00606003222954765,-0.000787091736817014,0.0254641435341023,0.00037154003771267,0,-0.0154205060280956,0.0265285473462367
1986-11-28,0.0140814705884131,0.00402191791020923,0.00861443766825953,0.00881062968215496,0.0420603169912173,0.0211052504894327,-0.00939709342618267,0,0.00873367996875452,0.0022564883587326,-0.000613058157547641,0.0222385815157404,0.00364830758547496,0.00043888523855673,-0.00627781292749674,-0.0425596144187965,0.053656353820605,-0.0198026272961798,0.00784317746102592,-0.0194725558402657,0.000371402046980496,0.00233735984870487,0.0411016756855518,-0.0194475127680134
1986-12-31,0.0223362624902835,0.00221208440818776,0.0239857997143256,0.0363676441708749,0.0209474250235634,0.0318574637185878,-0.00183751200146887,0,0.00865806274311431,0.0200824897235299,-0.00627475555190093,0.0177116346622059,0.0201524511384572,0.0122112289280694,0.002280263611389,-0.0109290705321898,0.00230893660647813,0,0.00260078170005729,-0.0182853953629367,0,-0.000778513079413568,0.0148041193697876,-0.0188798193455293
