"Index","AUSTRUS","CDNDLUS","EURO.US","JAPYNUS.100","NEWZDUS","SWISFUS","BRITPUS","BRUSDSP","CZECKUS","HUNGFUS.100","INDNRUS.100","INDONUS.1000","SKORWUS","MEXPFUS","NORGKUS","PHILPUS","POLZLUS","X1.RSUSDSP","SWEDKUS","TAIWDUS","SINGDUS","THAIBUS","TURKLUS","SARFNUS","CHILPUS","MALAYUS","US.CWMN","CHINYUS","HKDOLUS","DANKRUS","BOEUSA."
1999-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999-02-26,-0.0161927385780536,0.00211320833357337,-0.0299329919600955,-0.0229489329855452,-0.0303310431893842,-0.0218971181924016,-0.0259850837467161,0.0403296401281533,-0.0573299257175668,-0.0510509946153963,-0.00425895021956713,0.0267634171988167,-0.0359320092260633,0.0264883328422241,-0.0477748783921061,-0.011619030791608,-0.073008466820305,-0.00228050269872559,-0.0446645209844587,-0.0238612399301599,-0.0179200972559878,-0.0118739799540566,-0.0619543485302787,-0.0214403312378695,-0.0257695131790516,0,0.020125737345154,0,0.000774893490924633,-0.0292379630807005,0.0200681903610755
1999-03-31,0.0249330564272003,-0.000573143708846535,-0.0234009301646126,0.00166527931906124,0.0243753211368476,-0.0235866551493742,0.00551191805022389,-0.181585536307107,-0.0426461272219987,-0.0295034276787582,0.00574530785599014,0.0122486220761981,-0.0122700925918142,0.0392397533375908,0.0165241264231772,0.00423721211614669,-0.0136029501599935,-0.0563529365511317,-0.0126902964673778,-0.00192046679998237,-0.00293179480500905,-0.00753108713214701,0.0620243509803931,0.00555728506486619,0.0340521427459155,-0.00015198723336507,0.00426695085177986,-0.000223534915842816,-0.000457114530643121,-0.0235385249285269,0.00481616194437606
1999-04-30,0.042107584745338,0.035248420911353,-0.0177990647381438,-0.0040490706743368,0.0422173244958921,-0.027013857463364,-0.0017759236673936,-0.0362557820537246,0.00809374571533938,0.00639585266860898,-0.00916557626078784,0.0737352318872464,0.0363676441708751,0.023130577388867,-0.00475466926370105,0.0192479866172142,0.0104421415229041,-0.00241838086428148,-0.0196374254191105,0.0137588161714279,0.0184810188081806,0.0101405946707209,-0.154714171892429,0.00858374369139159,0.00193892450467459,0.00015198723336507,-0.00048500939060947,0.000223534915842816,-0.000317778960281512,-0.0170587252374841,-0.000184808723497909
1999-05-31,-0.0140032729626227,-0.0120147965458984,-0.0151424254198629,-0.0181834138704167,-0.0424040135657893,-0.0035069030375649,-0.00479706866395219,0.0374168178279423,-0.017192400540373,-0.0118766241625794,-0.00214362354325148,-0.00567032706008774,0,-0.0427618593380816,-0.0165163015156957,0.000760745567309318,-0.00914337516820507,-0.009732436918231,-0.0221474129117767,-0.00163585837232594,-0.0174452859346486,0.0037160949490147,-0.0357806955906868,-0.0234723561851422,-0.0195605258544935,0,0.0110173442129833,0,0,-0.016283545634914,0.0111199050521229
1999-06-30,0.0228815195275457,0.000736756829907981,-0.00760972703626071,0.00242748025501882,-0.00149476858922915,-0.0147717719088497,-0.0151012748350027,0.0260558159328851,0.02285813807605,-0.0112941246180869,-0.0103538457307422,0.198304705449008,0.023530497410194,0.0352912328705099,0.0118251279398156,-0.00114133548627038,0.0170267427594677,0.009732436918231,0.0196168337460594,0.0136587489310402,0.0152387162538041,0.00591717702808836,-0.0410211351911098,0.0356084274673678,-0.0490865043701492,0,0.00517863373755834,0,-0.000775494416530798,-0.00716335441356408,0.00683093871629392
1999-07-30,-0.0227282510775561,-0.0223423055824876,0.0349646104856276,0.057131474184775,-0.00844996108470397,0.039780994023618,0.0283769040520627,0.0110740612862119,0.0316273102976359,0.0198594874770102,0.000433557344749591,-0.0331896362487214,-0.03550668845691,-0.0037549357522435,0.00780644089282934,-0.0114855780227918,0.0182848898969323,0,0.0283116328258917,0.00322476899901458,0.00997556670321809,-0.00926104044479459,-0.0169667243739301,-0.0207198149736172,0.0113461763873017,0,-0.0207009396370097,0,-0.000776096274888172,0.0332303463575492,-0.0270485671199197
1999-08-31,-0.0193429628431309,0.00944463957809633,-0.012874302709268,0.0442327045195743,-0.0232746103223417,-0.015886458525974,-0.0106561940159224,0.0684336811799237,-0.0123925854483109,-0.0135959160476391,-0.0030388562565129,-0.108272618259896,0.0238106486937184,0.00656354911400392,-0.00780644089282934,-0.0300980311572792,-0.0301333697410735,-0.0220327149998827,-0.00411353932579228,0.0124781654259083,-0.00117835212691975,-0.0298416855689476,-0.0437295914901568,0.0116315973156449,-0.00772204609391025,0,-0.00796413159116938,0,0,-0.0104859401911397,-0.00993447720657237
1999-09-30,0.018729748045439,0.0162797734853232,0.0110051432865644,0.0298916239399123,-0.000772349912886883,0.0120356500240928,0.0255809312590615,0.00333559489965529,0.0333818461637674,-0.00553884618929246,-0.00348432408261079,-0.0806824620296922,-0.0359320092260633,-0.00280861336176041,0.02093911322011,-0.0302137785964969,-0.0314795969193953,-0.0124534610712868,0.0122901997630374,0.00158856268513796,-0.00811775132610471,-0.0653568517888035,-0.0316820192097638,0.0133012843772762,-0.0251190600953315,0,-0.015375218863193,0,-0.000776699068172348,0.0077004230697133,-0.0178661028923601
1999-10-29,-0.0223299710779306,-0.00205731152651772,-0.0132776563372821,0.0210401197197765,-0.0187176453081696,-0.0171949937904023,-0.00109342739602569,0.0158475377512121,-0.038591095658588,-0.00508414120199507,0.0047878219860551,0.197868406356015,0.0121213605323449,-0.0246682454792224,-0.0185907755460022,0.0198427243310095,-0.0286981640867436,-0.0409264277092172,-0.00653597097978542,0.000951927725381996,0.0211701454642086,0.0580449084937973,-0.0425231491094227,-0.0230872951955063,-0.0323129889905438,0,-5.25092600200949e-05,0,0,-0.0105153439995231,-0.000767386128785574
